Designator,Mid X,Mid Y,Rotation,Layer
D1,42.136627,-51.553889,100.0,bottom
D10,235.357538,-52.516813,80.0,bottom
D11,254.531626,-51.553889,80.0,bottom
D12,273.292214,-48.245891,80.0,bottom
D13,38.828629,-70.314477,100.0,bottom
D14,57.589217,-73.622475,100.0,bottom
D15,76.763304,-74.585399,100.0,bottom
D16,95.730642,-76.720861,100.0,bottom
D17,114.28448,-81.201395,100.0,bottom
D18,132.631567,-86.854467,100.0,bottom
D19,182.797273,-83.546468,80.0,bottom
D2,60.897214,-54.861887,100.0,bottom
D20,201.144361,-77.893397,80.0,bottom
D21,219.698198,-73.412862,80.0,bottom
D22,238.665536,-71.277401,80.0,bottom
D23,257.839624,-70.314477,80.0,bottom
D24,276.600212,-67.006479,80.0,bottom
D25,35.520631,-89.075065,100.0,bottom
D26,54.281219,-92.383063,100.0,bottom
D27,73.455307,-93.345987,100.0,bottom
D28,92.422644,-95.481448,100.0,bottom
D29,110.976482,-99.961983,100.0,bottom
D3,80.071302,-55.824811,100.0,bottom
D30,129.323569,-105.615054,100.0,bottom
D31,186.105271,-102.307056,80.0,bottom
D32,204.452359,-96.653984,80.0,bottom
D33,223.006196,-92.17345,80.0,bottom
D34,241.973534,-90.037989,80.0,bottom
D35,261.147622,-89.075065,80.0,bottom
D36,279.90821,-85.767067,80.0,bottom
D37,32.212634,-107.835653,100.0,bottom
D38,50.973222,-111.143651,100.0,bottom
D39,70.147309,-112.106574,100.0,bottom
D4,99.03864,-57.960273,100.0,bottom
D40,89.114646,-114.242036,100.0,bottom
D41,107.668484,-118.72257,100.0,bottom
D42,126.015573,-124.375642,100.0,bottom
D43,189.413269,-121.067644,80.0,bottom
D44,207.760357,-115.414572,80.0,bottom
D45,226.314194,-110.934038,80.0,bottom
D46,245.281532,-108.798576,80.0,bottom
D47,264.45562,-107.835652,80.0,bottom
D48,283.216207,-104.527654,80.0,bottom
D49,73.874531,-132.107662,100.0,bottom
D5,117.592478,-62.440807,100.0,bottom
D50,92.635119,-135.415659,100.0,bottom
D51,115.672354,-141.89573,100.0,bottom
D52,142.295162,-141.75408,100.0,bottom
D53,173.133679,-138.446082,80.0,bottom
D54,197.411413,-139.001231,80.0,bottom
D55,220.448648,-132.521161,80.0,bottom
D56,239.209236,-129.213163,80.0,bottom
D6,135.939565,-68.093879,100.0,bottom
D7,179.489275,-64.785881,80.0,bottom
D8,197.836363,-59.132809,80.0,bottom
D9,216.517181,-55.372415,80.0,bottom
J1,161.431189,-103.448349,180.0,top
S1,33.376583,-46.382281,350.0,top
S10,225.356995,-50.653202,10.0,top
S11,244.531083,-49.690277,10.0,top
S12,263.29167,-46.38228,10.0,top
S13,30.068585,-65.142868,350.0,top
S14,48.829172,-68.450866,350.0,top
S15,68.00326,-69.41379,350.0,top
S16,86.970598,-71.549252,350.0,top
S17,105.524436,-76.029786,350.0,top
S18,123.871523,-81.682857,350.0,top
S19,172.79673,-81.682857,10.0,top
S2,52.13717,-49.690279,350.0,top
S20,191.143817,-76.029786,10.0,top
S21,209.697655,-71.549251,10.0,top
S22,228.664993,-69.41379,10.0,top
S23,247.83908,-68.450865,10.0,top
S24,266.599668,-65.142868,10.0,top
S25,26.760587,-83.903456,350.0,top
S26,45.521175,-87.211454,350.0,top
S27,64.695262,-88.174378,350.0,top
S28,83.6626,-90.30984,350.0,top
S29,102.216438,-94.790374,350.0,top
S3,71.311258,-50.653203,350.0,top
S30,120.563525,-100.443445,350.0,top
S31,176.104728,-100.443444,10.0,top
S32,194.451815,-94.790374,10.0,top
S33,213.005653,-90.309838,10.0,top
S34,231.972991,-88.174378,10.0,top
S35,251.147078,-87.211453,10.0,top
S36,269.907666,-83.903456,10.0,top
S37,23.45259,-102.664044,350.0,top
S38,42.213178,-105.972042,350.0,top
S39,61.387264,-106.934966,350.0,top
S4,90.278596,-52.788664,350.0,top
S40,80.354602,-109.070427,350.0,top
S41,98.90844,-113.550962,350.0,top
S42,117.255528,-119.204032,350.0,top
S43,179.412725,-119.204032,10.0,top
S44,197.759813,-113.550961,10.0,top
S45,216.313651,-109.070426,10.0,top
S46,235.280988,-106.934966,10.0,top
S47,254.455076,-105.97204,10.0,top
S48,273.215664,-102.664044,10.0,top
S49,65.114487,-126.936053,350.0,top
S5,108.832433,-57.269199,350.0,top
S50,83.875075,-130.244051,350.0,top
S51,106.91231,-136.724121,350.0,top
S52,133.535117,-136.582471,350.0,top
S53,163.133135,-136.582471,10.0,top
S54,187.41087,-137.13762,10.0,top
S55,210.448104,-130.65755,10.0,top
S56,229.208692,-127.349552,10.0,top
S57,148.334314,-151.321474,0.0,top
S6,127.179521,-62.922269,350.0,top
S7,169.488732,-62.922269,10.0,top
S8,187.835819,-57.269198,10.0,top
S9,206.389658,-52.788663,10.0,top
SW1,135.237439,-100.045224,90.0,top
SW2,150.834314,-104.677724,270.0,top
U1,148.334314,-85.757724,270.0,bottom
